Men's Team Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DART,820,,7,UNH,1120,,,,,,,,,,,,,,
,,,,,,,,,,,,,GWU,265,,8,ASU,1110,,,,,,,,,,,,,,
,,,,,,,,,,,,,IND,1065,,9,IND,1065,,,,,,,,,,,,,,
,,,,,,,,,,,,,IOWA,595,,10,W&M,970,,,,,,,,,,,,,,
,,,,,,,,,,,,,MICH,1690,,11,UMASS,915,,,,,,,,,,,,,,
,,,,,,,,,,,,,MSU,1415,,12,UVA,870,,,,,,,,,,,,,,
,,,,,,,,,,,,,NAVY,1205,,13,UC,845,,,,,,,,,,,,,,
,,,,,,,,,,,,,NU,525,,14,TAMU,840,,,,,,,,,,,,,,
,,,,,,,,,,,,,OBER,340,,15,CU,835,,,,,,,,,,,,,,
,,,,,,,,,,,,,PITT,345,,16,DART,820,,,,,,,,,,,,,,
,,,,,,,,,,,,,RU,1270,,17,BU,765,,,,,,,,,,,,,,
,,,,,,,,,,,,,SWAT,640,,18,VT,745,,,,,,,,,,,,,,
,,,,,,,,,,,,,TAMU,840,,19,SWAT,640,,,,,,,,,,,,,,
,,,,,,,,,,,,,TXST,300,,20,UVM,640,,,,,,,,,,,,,,
,,,,,,,,,,,,,UC,845,,21,IOWA,595,,,,,,,,,,,,,,
,,,,,,,,,,,,,UF,1390,,22,NU,525,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMASS,915,,23,USC,485,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD,445,,24,WISC,455,,,,,,,,,,,,,,
,,,,,,,,,,,,,UNH,1120,,25,UMD,445,,,,,,,,,,,,,,
,,,,,,,,,,,,,USC,485,,26,PITT,345,,,,,,,,,,,,,,
,,,,,,,,,,,,,UVA,870,,27,CLEM,340,,,,,,,,,,,,,,
,,,,,,,,,,,,,UVM,640,,28,OBER,340,,,,,,,,,,,,,,
,,,,,,,,,,,,,VT,745,,29,TXST,300,,,,,,,,,,,,,,
,,,,,,,,,,,,,W&M,970,,30,GWU,265,,,,,,,,,,,,,,
,,,,,,,,,,,,,WISC,455,,31,BRDLEY,175,,,,,,,,,,,,,,
